Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
19.6,6,68.4,13.17394249,0.1,0.1,0,0,0.6,0,0,6,1,1,0,0,0,0,0,0,0,0,0.6,0.1,0,0.2,0.1,0,0.8,0.8,656,60,78,65.6,6.23965811,65.6,0.075907421,10,38.93333333,CommandInjection
14.4,17,81.1,19.07734041,0,0,0,0.1,0.3,0,0,3,0,0,0,0,0.3,0,0,0,0,0,0.3,0.6,0,0.1,0,0,0.9,0.9,1055,60,218,105.5,65.39665299,105.5,0.056935787,10,4276.722222,CommandInjection
14.4,17,115.2,23.39964239,0,0,0,0.1,0.3,0,0,3,0,0,0,0,0.3,0.1,0,0,0,0,0.3,0.6,0,0.1,0,0,0.9,0.9,1145,60,230,114.5,63.77259948,114.5,0.043896008,10,4066.944444,CommandInjection
28.8,6,161.4,122.5204551,0,0.2,0,0.3,0.7,0,0,7,2,0,0,0.8,0,0.1,0,0,0,0,0.8,0.2,0,0,0,0,1,1,1597,66,529,159.7,146.5765253,159.7,0.008362198,10,21484.67778,CommandInjection
16,6,95.4,51.14306339,0,0,0,0.2,0.4,0,0,4,0,0,0,0.4,0,0.3,0,0,0,0,0.4,0.4,0,0.1,0.1,0,0.9,0.9,1728,60,385,172.8,100.9067777,172.8,0.019553494,10,10182.17778,CommandInjection
18.4,6,114.5,28.56188334,0,0,0,0.3,0.5,0,0,5,0,0,0,0,0.2,0,0,0,0,0,0.5,0.3,0,0.1,0.1,0,0.9,0.9,1472,60,230,147.2,69.21913672,147.2,0.087494993,10,4791.288889,CommandInjection
5.6,17,80.2,32.54648052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.3,0,0,0.7,0.7,1210,60,230,121,70.62420108,121,0.032213497,10,4987.777778,CommandInjection
27.2,6,78.7,47.3601402,0,0,0,0.6,0.8,0,0,8,0,0,0,0,0.5,0,0,0,0,0,0.8,0.2,0,0,0,0,1,1,1244,60,505,124.4,135.3778252,124.4,0.030417919,10,18327.15556,CommandInjection
18.4,6,85.2,34.54433445,0,0,0,0.1,0.5,0,0,5,0,0,0,0,0.5,0,0,0,0,0,0.5,0.3,0,0.2,0,0,0.8,0.8,1048,60,230,104.8,69.24481529,104.8,0.030460596,10,4794.844444,CommandInjection
27.2,6,93.2,17.4402598,0,0.1,0,0.3,0.7,0,0,7,1,0,0,0.1,0.4,0,0,0,0,0,0.8,0.1,0,0.1,0,0,0.9,0.9,1104,60,214,110.4,59.59716623,110.4,0.058203387,10,3551.822222,CommandInjection
8,17,108.6,18.93420007,0,0.1,0,0,0,0,0,0,1,0,0,0,0,0.2,0,0,0,0,0.1,0.5,0,0.1,0.3,0,0.9,0.9,1606,60,230,160.6,70.50327022,160.6,0.067962503,10,4970.711111,CommandInjection
19.2,6,131.6,12.21399441,0,0.1,0,0.1,0.5,0,0,5,1,0,0,0,0,0,0,0,0,0,0.5,0.3,0,0.1,0.1,0,0.9,0.9,1818,60,583,181.8,171.3079099,181.8,0.082273698,10,29346.4,CommandInjection
14.8,6,108.4,13.91168676,0,0,0,0.3,0.4,0,0,4,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.1,0.1,0,0.9,0.9,1111,60,230,111.1,62.04559256,111.1,0.073001218,10,3849.655556,CommandInjection
16,6,85.2,31.10746874,0,0,0,0.4,0.6,0,0,6,0,0,0,0,0.2,0,0,0,0,0,0.6,0.2,0,0.2,0,0,0.8,0.8,1122,60,218,112.2,52.83264984,112.2,0.032374501,10,2791.288889,CommandInjection
13.6,17,135.6,39.53258044,0,0.1,0,0.1,0.2,0,0,2,1,0,0,0.1,0,0,0,0,0,0,0.3,0.7,0,0,0,0,1,1,1181,60,230,118.1,66.01759025,118.1,0.025295877,10,4358.322222,CommandInjection
21.2,6,171.4,22.90383652,0.1,0.2,0,0.1,0.7,0,0,7,2,1,0,0,0.6,0,0,0,0,0,0.8,0.1,0,0.1,0,0,0.9,0.9,835,60,214,83.5,49.74434641,83.5,0.050866914,10,2474.5,CommandInjection
12,17,180.6,67.29384131,0,0,0,0.3,0.4,0,0,4,0,0,0,0,0.4,0.3,0,0,0,0,0.4,0.5,0,0.1,0,0,0.9,0.9,1526,60,230,152.6,66.50847899,152.6,0.015303588,10,4423.377778,CommandInjection
22.8,6,135.6,101.2759751,0,0,0,0.4,0.8,0,0,8,0,0,0,0,0.5,0,0,0,0,0,0.8,0.1,0,0,0.1,0,1,1,1359,60,230,135.9,67.99746727,135.9,0.010949421,10,4623.655556,CommandInjection
